circuit_id,circuit_name,locality,country,lat,lng,url
adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit
ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,https://en.wikipedia.org/wiki/Ain-Diab_Circuit
aintree,Aintree,Liverpool,UK,53.4769,-2.94056,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,https://en.wikipedia.org/wiki/Albert_Park_Circuit
americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,https://en.wikipedia.org/wiki/Circuit_of_the_Americas
anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,https://en.wikipedia.org/wiki/Anderstorp_Raceway
avus,AVUS,Berlin,Germany,52.4806,13.2514,https://en.wikipedia.org/wiki/AVUS
bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,https://en.wikipedia.org/wiki/Bahrain_International_Circuit
baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,https://en.wikipedia.org/wiki/Baku_City_Circuit
boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,https://en.wikipedia.org/wiki/Circuito_da_Boavista
brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,https://en.wikipedia.org/wiki/Brands_Hatch
bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,https://en.wikipedia.org/wiki/Circuit_Bremgarten
buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,https://en.wikipedia.org/wiki/Buddh_International_Circuit
catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,https://en.wikipedia.org/wiki/Circuit_de_Charade
dallas,Fair Park,Dallas,USA,32.7774,-96.7587,https://en.wikipedia.org/wiki/Fair_Park
detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,https://en.wikipedia.org/wiki/Detroit_street_circuit
dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,https://en.wikipedia.org/wiki/Dijon-Prenois
donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,https://en.wikipedia.org/wiki/Donington_Park
essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,https://en.wikipedia.org/wiki/Rouen-Les-Essarts
estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,https://en.wikipedia.org/wiki/Circuito_do_Estoril
fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,https://en.wikipedia.org/wiki/Fuji_Speedway
galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez
george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,https://en.wikipedia.org/wiki/Prince_George_Circuit
hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,https://en.wikipedia.org/wiki/Hockenheimring
hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,https://en.wikipedia.org/wiki/Hungaroring
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,https://en.wikipedia.org/wiki/Imola_Circuit
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,https://en.wikipedia.org/wiki/Interlagos_Circuit
istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,https://en.wikipedia.org/wiki/Istanbul_Park
jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
jarama,Jarama,Madrid,Spain,40.6171,-3.58558,https://en.wikipedia.org/wiki/Circuito_del_Jarama
jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit
jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,https://en.wikipedia.org/wiki/Circuito_de_Jerez
kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,https://en.wikipedia.org/wiki/Kyalami
las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit
lemans,Le Mans,Le Mans,France,47.95,0.224231,https://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
long_beach,Long Beach,California,USA,33.7651,-118.189,"https://en.wikipedia.org/wiki/Long_Beach,_California"
losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542,https://en.wikipedia.org/wiki/Lusail_International_Circuit
madring,Madring,Madrid,Spain,40.46528,-3.61528,https://en.wikipedia.org/wiki/Madring
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,https://en.wikipedia.org/wiki/Miami_International_Autodrome
monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,https://en.wikipedia.org/wiki/Circuit_de_Monaco
monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,https://en.wikipedia.org/wiki/Circuito_de_Monsanto
montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,https://en.wikipedia.org/wiki/Monza_Circuit
mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park
mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,https://en.wikipedia.org/wiki/Mugello_Circuit
nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,https://en.wikipedia.org/wiki/Nivelles-Baulers
nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,https://en.wikipedia.org/wiki/N%C3%BCrburgring
okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,https://en.wikipedia.org/wiki/Okayama_International_Circuit
pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,https://en.wikipedia.org/wiki/Pedralbes_Circuit
pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,https://en.wikipedia.org/wiki/Pescara_Circuit
phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,https://en.wikipedia.org/wiki/Phoenix_street_circuit
portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,https://en.wikipedia.org/wiki/Algarve_International_Circuit
red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,https://en.wikipedia.org/wiki/Red_Bull_Ring
reims,Reims-Gueux,Reims,France,49.2542,3.93083,https://en.wikipedia.org/wiki/Reims-Gueux
ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard
riverside,Riverside International Raceway,California,USA,33.937,-117.273,https://en.wikipedia.org/wiki/Riverside_International_Raceway
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,https://en.wikipedia.org/wiki/Sebring_International_Raceway
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,https://en.wikipedia.org/wiki/Sepang_International_Circuit
shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,https://en.wikipedia.org/wiki/Shanghai_International_Circuit
silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,https://en.wikipedia.org/wiki/Silverstone_Circuit
sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,https://en.wikipedia.org/wiki/Sochi_Autodrom
spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course
tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,https://en.wikipedia.org/wiki/Valencia_Street_Circuit
vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,https://en.wikipedia.org/wiki/Watkins_Glen_International
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,https://en.wikipedia.org/wiki/Yas_Marina_Circuit
yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,https://en.wikipedia.org/wiki/Korea_International_Circuit
zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,https://en.wikipedia.org/wiki/Circuit_Zandvoort
zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,https://en.wikipedia.org/wiki/Zeltweg_Air_Base
zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,https://en.wikipedia.org/wiki/Circuit_Zolder
